EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	10:50:14	0.1000	1.7456	0.5509	1.0000	0.8000	0.8889	0.7500
2	10:50:47	0.1000	2.5294	1.2531	1.0000	0.8000	0.8889	0.7500
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	10:52:23	0.1000	2.6637	0.7870	1.0000	0.6154	0.7619	0.3750
2	10:52:57	0.1000	1.5317	3.5683	1.0000	0.5714	0.7273	0.2500
3	10:53:30	0.1000	1.3482	1.0145	1.0000	0.5714	0.7273	0.2500
4	10:54:02	0.1000	0.6936	2.2607	1.0000	0.5714	0.7273	0.2500
5	10:54:35	0.1000	1.1195	1.8851	1.0000	0.5714	0.7273	0.2500
